id,category,sub_category,level,has_table,has_fomula,question,A,B,C,D,E,gold,answer,answer_structured,raw_response,is_correct
1,중급회계,재무제표 요소,H,N,N,"재무제표 요소의 인식과 측정에 관한 다음의 설명 중 옳은 것만을 모두 고르시오.
가. 자산, 부채 또는 자본의 정의를 충족하는 모든 항목은 기업의 재무상태표에 인식된다.
나. 경제적효익의 유입가능성이나 유출가능성이 낮더라도 자산이나 부채가 존재할 수 있다.
다. 자산의 사용가치는 직접 관측될 수 없으며 현금흐름기준 측정기법으로 결정된다.
라. 이행가치는 미래현금흐름에 기초하기 때문에 부채를 인수할 때 발생하는 거래원가 및 부채를 이행할 때 발생할 것으로 기대되는 거래원가(현재가치)는 포함하지 않는다.","가,나","가,다","나,다","나,라","다,라",C,C,"{""answer"": ""C""}","{""id"": ""resp_057a8a6fb415d45c00694f95a3bdc88195b03fe90f4487d8b5"", ""created_at"": 1766823331.0, ""error"": null, ""incomplete_details"": null, ""instructions"": null, ""metadata"": {}, ""model"": ""gpt-5.2-2025-12-11"", ""object"": ""response"", ""output"": [{""id"": ""msg_057a8a6fb415d45c00694f95a43d388195ab3ffb6e4dc3dbbd"", ""content"": [{""annotations"": [], ""text"": ""{\""answer\"":\""C\""}"", ""type"": ""output_text"", ""logprobs"": []}], ""role"": ""assistant"", ""status"": ""completed"", ""type"": ""message""}], ""parallel_tool_calls"": true, ""temperature"": 1.0, ""tool_choice"": ""auto"", ""tools"": [], ""top_p"": 0.98, ""background"": false, ""conversation"": null, ""max_output_tokens"": 32, ""max_tool_calls"": null, ""previous_response_id"": null, ""prompt"": null, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""reasoning"": {""effort"": ""none"", ""generate_summary"": null, ""summary"": null}, ""safety_identifier"": null, ""service_tier"": ""default"", ""status"": ""completed"", ""text"": {""format"": {""name"": ""mcq_answer"", ""schema_"": {""type"": ""object"", ""properties"": {""answer"": {""type"": ""string"", ""enum"": [""A"", ""B"", ""C"", ""D"", ""E""]}}, ""required"": [""answer""], ""additionalProperties"": false}, ""type"": ""json_schema"", ""description"": null, ""strict"": true}, ""verbosity"": ""low""}, ""top_logprobs"": 0, ""truncation"": ""disabled"", ""usage"": {""input_tokens"": 262, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 14, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 276}, ""user"": null, ""billing"": {""payer"": ""developer""}, ""completed_at"": 1766823332, ""store"": true}",True
2,중급회계,재무제표 표시,H,N,N,"재무제표 표시에 관한 다음의 설명 중 옳은 것만을 모두 고르시오.
가. 재무제표는 기업의 재무상태, 재무성과와 재무상태변동에 관한 정보뿐만 아니라 위탁받은 자원에 대한 경영진의 수탁책임 결과도 보여준다.
나. 재무제표는 여러 가지 종류가 있으며, 각각의 재무제표는 전체 재무제표에서 동등한 비중으로 표시한다.
다. 당기손익과 기타포괄손익은 두 부분으로 나누어 표시할 수 있는데, 이 경우 당기손익 부분을 먼저 표시할지 또는 기타포괄손익 부분을 먼저 표시할지는 기업의 선택사항이다.
라. 기업은 재무제표 이외에도 환경보고서나 부가가치보고서와 같은 보고서를 제공할 수도 있는데, 이와 같은 재무제표 이외의 보고서도 한국채택국제회계기준의 적용범위에 해당하는 것이다.","가,나","가,다","나,다","나,라","다,라",A,B,"{""answer"": ""B""}","{""id"": ""resp_0ff14af1574a1a5b00694f95a5294c81a38a8be303ec7ce03a"", ""created_at"": 1766823333.0, ""error"": null, ""incomplete_details"": null, ""instructions"": null, ""metadata"": {}, ""model"": ""gpt-5.2-2025-12-11"", ""object"": ""response"", ""output"": [{""id"": ""msg_0ff14af1574a1a5b00694f95a5bc8481a38076a733ce6aca67"", ""content"": [{""annotations"": [], ""text"": ""{\""answer\"":\""B\""}"", ""type"": ""output_text"", ""logprobs"": []}], ""role"": ""assistant"", ""status"": ""completed"", ""type"": ""message""}], ""parallel_tool_calls"": true, ""temperature"": 1.0, ""tool_choice"": ""auto"", ""tools"": [], ""top_p"": 0.98, ""background"": false, ""conversation"": null, ""max_output_tokens"": 32, ""max_tool_calls"": null, ""previous_response_id"": null, ""prompt"": null, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""reasoning"": {""effort"": ""none"", ""generate_summary"": null, ""summary"": null}, ""safety_identifier"": null, ""service_tier"": ""default"", ""status"": ""completed"", ""text"": {""format"": {""name"": ""mcq_answer"", ""schema_"": {""type"": ""object"", ""properties"": {""answer"": {""type"": ""string"", ""enum"": [""A"", ""B"", ""C"", ""D"", ""E""]}}, ""required"": [""answer""], ""additionalProperties"": false}, ""type"": ""json_schema"", ""description"": null, ""strict"": true}, ""verbosity"": ""low""}, ""top_logprobs"": 0, ""truncation"": ""disabled"", ""usage"": {""input_tokens"": 313, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 14, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 327}, ""user"": null, ""billing"": {""payer"": ""developer""}, ""completed_at"": 1766823333, ""store"": true}",False
3,중급회계,재무정보의 질적특성,H,N,N,유용한 재무정보의 질적특성 중 비교가능성에 대한 설명으로 옳지 않은 것은?,보고기업에 대한 정보는 다른 기업에 대한 유사한 정보 및 해당 기업에 대한 다른 기간이나 다른 일자의 유사한 정보와 비교될 수 있다면 더욱 유용하다.,비교가능성은 이용자들이 항목 간의 유사점과 차이점을 식별하고 이해할 수 있게 하는 질적특성이다.,"비교가능성은 일관성 및 통일성과 동일한 개념으로서, 모든 항목들에 대해 일관성 있고 통일성 있는 회계처리를 한다면 비교가능성은 자연스럽게 향상된다.",목적적합한 경제적 현상에 대한 표현충실성은 다른 보고기업의 유사한 목적적합한 경제적 현상에 대한 표현충실성과 어느 정도의 비교가능성을 자연히 가져야 한다.,"하나의 경제적 현상은 여러 가지 방법으로 충실하게 표현될 수 있으나, 동일한 경제적 현상에 대해 대체적인 회계처리방법을 허용하면 비교가능성이 감소한다.",C,C,"{""answer"": ""C""}","{""id"": ""resp_0ae56ba51289dd2c00694f95a62e0c8196a6bba659639c41f8"", ""created_at"": 1766823334.0, ""error"": null, ""incomplete_details"": null, ""instructions"": null, ""metadata"": {}, ""model"": ""gpt-5.2-2025-12-11"", ""object"": ""response"", ""output"": [{""id"": ""msg_0ae56ba51289dd2c00694f95a6fa2c8196b0e031b082f0ff37"", ""content"": [{""annotations"": [], ""text"": ""{\""answer\"":\""C\""}"", ""type"": ""output_text"", ""logprobs"": []}], ""role"": ""assistant"", ""status"": ""completed"", ""type"": ""message""}], ""parallel_tool_calls"": true, ""temperature"": 1.0, ""tool_choice"": ""auto"", ""tools"": [], ""top_p"": 0.98, ""background"": false, ""conversation"": null, ""max_output_tokens"": 32, ""max_tool_calls"": null, ""previous_response_id"": null, ""prompt"": null, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""reasoning"": {""effort"": ""none"", ""generate_summary"": null, ""summary"": null}, ""safety_identifier"": null, ""service_tier"": ""default"", ""status"": ""completed"", ""text"": {""format"": {""name"": ""mcq_answer"", ""schema_"": {""type"": ""object"", ""properties"": {""answer"": {""type"": ""string"", ""enum"": [""A"", ""B"", ""C"", ""D"", ""E""]}}, ""required"": [""answer""], ""additionalProperties"": false}, ""type"": ""json_schema"", ""description"": null, ""strict"": true}, ""verbosity"": ""low""}, ""top_logprobs"": 0, ""truncation"": ""disabled"", ""usage"": {""input_tokens"": 309, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 14, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 323}, ""user"": null, ""billing"": {""payer"": ""developer""}, ""completed_at"": 1766823335, ""store"": true}",True
4,중급회계,자본 및 자본유지개념,H,N,N,자본 및 자본유지개념에 대한 설명으로 옳지 않은 것은?,재무제표이용자들이 주로 명목상의 투하자본이나 투하자본의 구매력 유지에 관심이 있다면 실물적 개념의 자본을 채택하여야 한다.,자본유지개념은 이익이 측정되는 준거기준을 제공함으로써 자본개념과 이익개념 사이의 연결고리를 제공한다.,실물자본유지개념을 사용하기 위해서는 현행원가기준에 따라 측정해야 한다.,"일반적으로 기초에 가지고 있던 자본만큼을 기말에도 가지고 있다면 이 기업의 자본은 유지된 것이며, 기초 자본을 유지하기 위해 필요한 부분을 초과하는 금액이 이익이다.","자산과 부채에 대한 재평가 또는 재작성은 자본의 증가나 감소를 초래할 수 있지만, 모든 자본의 증감이 수익이나 비용으로 표시되는 것은 아니다.",A,A,"{""answer"": ""A""}","{""id"": ""resp_07944ddee838491e00694f95a7835c81a19c602ba10f464e4d"", ""created_at"": 1766823335.0, ""error"": null, ""incomplete_details"": null, ""instructions"": null, ""metadata"": {}, ""model"": ""gpt-5.2-2025-12-11"", ""object"": ""response"", ""output"": [{""id"": ""msg_07944ddee838491e00694f95a7c3cc81a1aba1decba42ce9ca"", ""content"": [{""annotations"": [], ""text"": ""{\""answer\"":\""A\""}"", ""type"": ""output_text"", ""logprobs"": []}], ""role"": ""assistant"", ""status"": ""completed"", ""type"": ""message""}], ""parallel_tool_calls"": true, ""temperature"": 1.0, ""tool_choice"": ""auto"", ""tools"": [], ""top_p"": 0.98, ""background"": false, ""conversation"": null, ""max_output_tokens"": 32, ""max_tool_calls"": null, ""previous_response_id"": null, ""prompt"": null, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""reasoning"": {""effort"": ""none"", ""generate_summary"": null, ""summary"": null}, ""safety_identifier"": null, ""service_tier"": ""default"", ""status"": ""completed"", ""text"": {""format"": {""name"": ""mcq_answer"", ""schema_"": {""type"": ""object"", ""properties"": {""answer"": {""type"": ""string"", ""enum"": [""A"", ""B"", ""C"", ""D"", ""E""]}}, ""required"": [""answer""], ""additionalProperties"": false}, ""type"": ""json_schema"", ""description"": null, ""strict"": true}, ""verbosity"": ""low""}, ""top_logprobs"": 0, ""truncation"": ""disabled"", ""usage"": {""input_tokens"": 293, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 14, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 307}, ""user"": null, ""billing"": {""payer"": ""developer""}, ""completed_at"": 1766823336, ""store"": true}",True
5,중급회계,보고기간 후 사건,H,N,N,"보고기간 후 사건 중 수정을 요하는 보고기간 후 사건에 해당하는 것만을 모두 고르시오.
가. 보고기간 말에 존재하였던 현재의무가 보고기간 후에 소송사건의 확정에 의해 확인되는 경우
나. 보고기간 말과 재무제표 발행승인일 사이에 투자자산의 공정가치가 상승한 경우
다. 보고기간 말과 재무제표 발행승인일 사이에 배당을 선언한 경우
라. 보고기간 말 이전 사건의 결과로서 보고기간 말에 종업원에게 지급하여야 할 법적 의무나 의제의무가 있는 이익분배나 상여금지급 금액을 보고기간 후에 확정하는 경우","가,다","가,라","나,다","나,라","다,라",B,B,"{""answer"": ""B""}","{""id"": ""resp_0d78d1bf6777934400694f95a866a08194853a20cb55ffafa8"", ""created_at"": 1766823336.0, ""error"": null, ""incomplete_details"": null, ""instructions"": null, ""metadata"": {}, ""model"": ""gpt-5.2-2025-12-11"", ""object"": ""response"", ""output"": [{""id"": ""msg_0d78d1bf6777934400694f95a8c2608194b821ac013599c5c2"", ""content"": [{""annotations"": [], ""text"": ""{\""answer\"":\""B\""}"", ""type"": ""output_text"", ""logprobs"": []}], ""role"": ""assistant"", ""status"": ""completed"", ""type"": ""message""}], ""parallel_tool_calls"": true, ""temperature"": 1.0, ""tool_choice"": ""auto"", ""tools"": [], ""top_p"": 0.98, ""background"": false, ""conversation"": null, ""max_output_tokens"": 32, ""max_tool_calls"": null, ""previous_response_id"": null, ""prompt"": null, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""reasoning"": {""effort"": ""none"", ""generate_summary"": null, ""summary"": null}, ""safety_identifier"": null, ""service_tier"": ""default"", ""status"": ""completed"", ""text"": {""format"": {""name"": ""mcq_answer"", ""schema_"": {""type"": ""object"", ""properties"": {""answer"": {""type"": ""string"", ""enum"": [""A"", ""B"", ""C"", ""D"", ""E""]}}, ""required"": [""answer""], ""additionalProperties"": false}, ""type"": ""json_schema"", ""description"": null, ""strict"": true}, ""verbosity"": ""low""}, ""top_logprobs"": 0, ""truncation"": ""disabled"", ""usage"": {""input_tokens"": 253, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 14, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 267}, ""user"": null, ""billing"": {""payer"": ""developer""}, ""completed_at"": 1766823337, ""store"": true}",True
6,중급회계,중간재무제표,H,N,N,중간재무제표에 대한 설명으로 옳지 않은 것을 고르면?,반기기준 재무보고를 하는 경우 반기 말 현재 또는 그 직후에 이용가능한 정보를 사용하여 반기재무제표를 작성한다.,"중간기간에 보고하는 수익과 비용은 당해 회계연도의 이전 중간기간에 보고한 추정금액에 대한 변경을 반영하여야 하는데, 이 경우 직전중간기간에 보고한 금액은 소급하여 수정하여야 한다.",소매업의 계절적 수익 등과 같이 특정 중간기간마다 다른 중간기간에 비해 지속적으로 더 많이 발생하는 수익도 있다. 이러한 수익은 발생할 때 수익으로 인식한다.,연중 고르지 않게 발생하는 원가는 연차보고기간 말에 미리 비용으로 예측하여 인식하거나 이연하는 것이 타당한 방법으로 인정되는 경우에 한하여 중간재무보고서에서도 동일하게 처리한다.,"연차기준과 중간기준의 측정 모두 합리적인 추정치에 근거하지만, 일반적으로 중간기준의 측정은 연차기준의 측정보다 추정을 더 많이 사용한다.",B,B,"{""answer"": ""B""}","{""id"": ""resp_05638451d9ac5f6b00694f95a98c488192bf0bffeb1136b3d7"", ""created_at"": 1766823337.0, ""error"": null, ""incomplete_details"": null, ""instructions"": null, ""metadata"": {}, ""model"": ""gpt-5.2-2025-12-11"", ""object"": ""response"", ""output"": [{""id"": ""msg_05638451d9ac5f6b00694f95a9d4008192b05d6a1c01978727"", ""content"": [{""annotations"": [], ""text"": ""{\""answer\"":\""B\""}"", ""type"": ""output_text"", ""logprobs"": []}], ""role"": ""assistant"", ""status"": ""completed"", ""type"": ""message""}], ""parallel_tool_calls"": true, ""temperature"": 1.0, ""tool_choice"": ""auto"", ""tools"": [], ""top_p"": 0.98, ""background"": false, ""conversation"": null, ""max_output_tokens"": 32, ""max_tool_calls"": null, ""previous_response_id"": null, ""prompt"": null, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""reasoning"": {""effort"": ""none"", ""generate_summary"": null, ""summary"": null}, ""safety_identifier"": null, ""service_tier"": ""default"", ""status"": ""completed"", ""text"": {""format"": {""name"": ""mcq_answer"", ""schema_"": {""type"": ""object"", ""properties"": {""answer"": {""type"": ""string"", ""enum"": [""A"", ""B"", ""C"", ""D"", ""E""]}}, ""required"": [""answer""], ""additionalProperties"": false}, ""type"": ""json_schema"", ""description"": null, ""strict"": true}, ""verbosity"": ""low""}, ""top_logprobs"": 0, ""truncation"": ""disabled"", ""usage"": {""input_tokens"": 334, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 14, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 348}, ""user"": null, ""billing"": {""payer"": ""developer""}, ""completed_at"": 1766823337, ""store"": true}",True
7,중급회계,재고자산,H,Y,N,"㈜한국은 6월 30일 화재로 인하여 창고에 보관 중이던 재고자산의 60%가 소실된 것으로 추정하였다. ㈜한국은 모든 판매와 구매를 외상으로 하고 있다. ㈜한국의 당기 회계연도 회계자료 중 일부는 다음과 같다.
(1) 당기 초와 6월 30일의 장부상 재고자산과 매출채권
| 구분      | 1월 1일   | 6월 30일 |
|-----------|-----------|-----------|
| 재고자산  | ￦300,000 | ?         |
| 매출채권  | ￦1,000,000 | ￦910,000 |
(2) 당기 초부터 6월 30일까지 발생한 거래
| 매출채권 현금회수액 | ￦3,600,000 |
|--------------------|------------|
| 재고자산 매입액    | ￦3,200,000 |
(3) 6월 30일 현재 ㈜한국은 ㈜서울에게 판매의 위탁을 위하여 적송한 상품 중 아직 판매되지 않은 상품￦70,000(원가)이 있다.
㈜한국이 원가에 30%의 이익을 가산하여 판매가격을 결정하고 있을 경우, 화재로 인한 손실액을 추정하면 얼마인가?","₩400,000","₩438,000","₩470,000","₩730,000","₩800,000",B,B,"{""answer"": ""B""}","{""id"": ""resp_0ff22f6fa58d323f00694f95aa28ac81a0ab4f0dd47c11a2e5"", ""created_at"": 1766823338.0, ""error"": null, ""incomplete_details"": null, ""instructions"": null, ""metadata"": {}, ""model"": ""gpt-5.2-2025-12-11"", ""object"": ""response"", ""output"": [{""id"": ""msg_0ff22f6fa58d323f00694f95aa9cd081a0aa44a7d91369fb81"", ""content"": [{""annotations"": [], ""text"": ""{\""answer\"":\""B\""}"", ""type"": ""output_text"", ""logprobs"": []}], ""role"": ""assistant"", ""status"": ""completed"", ""type"": ""message""}], ""parallel_tool_calls"": true, ""temperature"": 1.0, ""tool_choice"": ""auto"", ""tools"": [], ""top_p"": 0.98, ""background"": false, ""conversation"": null, ""max_output_tokens"": 32, ""max_tool_calls"": null, ""previous_response_id"": null, ""prompt"": null, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""reasoning"": {""effort"": ""none"", ""generate_summary"": null, ""summary"": null}, ""safety_identifier"": null, ""service_tier"": ""default"", ""status"": ""completed"", ""text"": {""format"": {""name"": ""mcq_answer"", ""schema_"": {""type"": ""object"", ""properties"": {""answer"": {""type"": ""string"", ""enum"": [""A"", ""B"", ""C"", ""D"", ""E""]}}, ""required"": [""answer""], ""additionalProperties"": false}, ""type"": ""json_schema"", ""description"": null, ""strict"": true}, ""verbosity"": ""low""}, ""top_logprobs"": 0, ""truncation"": ""disabled"", ""usage"": {""input_tokens"": 419, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 14, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 433}, ""user"": null, ""billing"": {""payer"": ""developer""}, ""completed_at"": 1766823338, ""store"": true}",True
8,중급회계,재고자산,H,Y,N,"20x1년 초에 설립한 ㈜한국은 20x1년 말 다음과 같이 성격과 용도가 다른 세 가지 품목(상품)을 보유하고 있다.
| 구분   | 수량 | 단위당원가 | 단위당 예상판매가격 | 단위당 예상판매비용 |
|--------|------|------------|--------------------|---------------------|
| A상품 | 300개 | ￦600 | ￦620 | ￦30 |
| B상품 | 200개 | ￦800 | ￦850 | ￦40 |
| C상품 | 100개 | ￦1,000 | ￦980 | ￦20 |
㈜한국의 기말재고에는 확정판매계약(단위당 계약가격：￦550)을 이행하기 위하여 보유한 A상품 100개가 포함되어 있으며, 확정판매계약 이행을 위한 판매비용은 발생하지 않는다. 
상기 상품(A, B, C)에 대한 20x1년 말 재고자산평가충당금은 얼마인가?","₩7,000","₩8,000","₩10,000","₩11,000","₩13,000",D,C,"{""answer"": ""C""}","{""id"": ""resp_0013692eeaac99a500694f95ab2458819f81221ca03e810871"", ""created_at"": 1766823339.0, ""error"": null, ""incomplete_details"": null, ""instructions"": null, ""metadata"": {}, ""model"": ""gpt-5.2-2025-12-11"", ""object"": ""response"", ""output"": [{""id"": ""msg_0013692eeaac99a500694f95ab6afc819f873b0d3b8fde2a4f"", ""content"": [{""annotations"": [], ""text"": ""{\""answer\"":\""C\""}"", ""type"": ""output_text"", ""logprobs"": []}], ""role"": ""assistant"", ""status"": ""completed"", ""type"": ""message""}], ""parallel_tool_calls"": true, ""temperature"": 1.0, ""tool_choice"": ""auto"", ""tools"": [], ""top_p"": 0.98, ""background"": false, ""conversation"": null, ""max_output_tokens"": 32, ""max_tool_calls"": null, ""previous_response_id"": null, ""prompt"": null, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""reasoning"": {""effort"": ""none"", ""generate_summary"": null, ""summary"": null}, ""safety_identifier"": null, ""service_tier"": ""default"", ""status"": ""completed"", ""text"": {""format"": {""name"": ""mcq_answer"", ""schema_"": {""type"": ""object"", ""properties"": {""answer"": {""type"": ""string"", ""enum"": [""A"", ""B"", ""C"", ""D"", ""E""]}}, ""required"": [""answer""], ""additionalProperties"": false}, ""type"": ""json_schema"", ""description"": null, ""strict"": true}, ""verbosity"": ""low""}, ""top_logprobs"": 0, ""truncation"": ""disabled"", ""usage"": {""input_tokens"": 342, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 14, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 356}, ""user"": null, ""billing"": {""payer"": ""developer""}, ""completed_at"": 1766823339, ""store"": true}",False
9,중급회계,유형자산,H,N,N,"㈜한국은 20x1년 초 건물을 취득하면서, 취득대금은 20x1년 말부터 매년 말 ￦500,000씩 3회 지급하기로 하였다. 상기 건물은 정률법을 적용하여 상각하며, 원가모형을 적용한다. 상기 건물의 취득원가는 ￦1,234,426이고, 20x2년 초 상기 건물과 미지급금(건물의 취득관련)의 장부금액은 각각 ￦864,098과 ￦857,869이다. ㈜한국의 상기 건물 및 미지급금(건물의 취득관련) 관련 회계처리가 20x2년도 당기순이익에 미치는 영향은? (단, 건물의 상각률과 미지급금의 유효이자율은 소수점 셋째자리에서 반올림하여 계산하며, 단수차이로 인해 오차가 발생하는 경우 가장 근사치를 선택한다.)","₩259,229","₩345,016","₩411,475","₩431,426","₩497,262",B,C,"{""answer"": ""C""}","{""id"": ""resp_02856a2b2c6b439500694f95abc9d08195bbd451473ae0f59e"", ""created_at"": 1766823339.0, ""error"": null, ""incomplete_details"": null, ""instructions"": null, ""metadata"": {}, ""model"": ""gpt-5.2-2025-12-11"", ""object"": ""response"", ""output"": [{""id"": ""msg_02856a2b2c6b439500694f95ac110c8195807cff518e3fe666"", ""content"": [{""annotations"": [], ""text"": ""{\""answer\"":\""C\""}"", ""type"": ""output_text"", ""logprobs"": []}], ""role"": ""assistant"", ""status"": ""completed"", ""type"": ""message""}], ""parallel_tool_calls"": true, ""temperature"": 1.0, ""tool_choice"": ""auto"", ""tools"": [], ""top_p"": 0.98, ""background"": false, ""conversation"": null, ""max_output_tokens"": 32, ""max_tool_calls"": null, ""previous_response_id"": null, ""prompt"": null, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""reasoning"": {""effort"": ""none"", ""generate_summary"": null, ""summary"": null}, ""safety_identifier"": null, ""service_tier"": ""default"", ""status"": ""completed"", ""text"": {""format"": {""name"": ""mcq_answer"", ""schema_"": {""type"": ""object"", ""properties"": {""answer"": {""type"": ""string"", ""enum"": [""A"", ""B"", ""C"", ""D"", ""E""]}}, ""required"": [""answer""], ""additionalProperties"": false}, ""type"": ""json_schema"", ""description"": null, ""strict"": true}, ""verbosity"": ""low""}, ""top_logprobs"": 0, ""truncation"": ""disabled"", ""usage"": {""input_tokens"": 329, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 14, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 343}, ""user"": null, ""billing"": {""payer"": ""developer""}, ""completed_at"": 1766823340, ""store"": true}",False
10,중급회계,유형자산,H,Y,N,"㈜한국은 20x1년 초 건물을 ￦800,000에 취득하고, 동 건물에 대해 재평가모형을 적용하며 매년 말 재평가를  실시한다. 동 건물 취득시점에서 건물의 잔존내용연수는   10년이고, 잔존가치 없이 정액법으로 상각한다. 20x1년 중에는 동 건물에 손상징후가 없었으나, 20x2년 말 동 건물에 손상징후가 있어 손상검사를 실시하였고, 회수가능액과 손상검사 전 장부금액은 중요한 차이가 있다. 다음은 각 연도별 상기 건물의 공정가치와 순공정가치 그리고 사용가치에 대한 자료이다.
| 구분     | 20x1년 말 | 20x2년 말 |
|----------|----------|----------|
| 공정가치  | ￦810,000 | ￦540,000 |
| 순공정가치 |          | ￦525,000 |
| 사용가치  |          | ￦508,000 |
상기 건물의 회계처리로 인한 ㈜한국의 20x2년도 당기순이익 감소액과 기타포괄이익 감소액을 각각 계산하면 얼마인가? (단, 재평가잉여금은 이익잉여금으로 대체하지 않는다)","당기순이익 감소액 ￦90,000 기타포괄이익 감소액 ￦90,000","당기순이익 감소액 ￦90,000 기타포괄이익 감소액 ￦105,000","당기순이익 감소액 ￦105,000 기타포괄이익 감소액 ￦90,000","당기순이익 감소액 ￦105,000 기타포괄이익 감소액 ￦105,000","당기순이익 감소액 ￦195,000 기타포괄이익 감소액 ￦90,000",E,C,"{""answer"": ""C""}","{""id"": ""resp_06201c955c26680900694f95ace398819f88f71d8a0bcdc164"", ""created_at"": 1766823340.0, ""error"": null, ""incomplete_details"": null, ""instructions"": null, ""metadata"": {}, ""model"": ""gpt-5.2-2025-12-11"", ""object"": ""response"", ""output"": [{""id"": ""msg_06201c955c26680900694f95ad3d20819fa21ba0d94dbca670"", ""content"": [{""annotations"": [], ""text"": ""{\""answer\"":\""C\""}"", ""type"": ""output_text"", ""logprobs"": []}], ""role"": ""assistant"", ""status"": ""completed"", ""type"": ""message""}], ""parallel_tool_calls"": true, ""temperature"": 1.0, ""tool_choice"": ""auto"", ""tools"": [], ""top_p"": 0.98, ""background"": false, ""conversation"": null, ""max_output_tokens"": 32, ""max_tool_calls"": null, ""previous_response_id"": null, ""prompt"": null, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""reasoning"": {""effort"": ""none"", ""generate_summary"": null, ""summary"": null}, ""safety_identifier"": null, ""service_tier"": ""default"", ""status"": ""completed"", ""text"": {""format"": {""name"": ""mcq_answer"", ""schema_"": {""type"": ""object"", ""properties"": {""answer"": {""type"": ""string"", ""enum"": [""A"", ""B"", ""C"", ""D"", ""E""]}}, ""required"": [""answer""], ""additionalProperties"": false}, ""type"": ""json_schema"", ""description"": null, ""strict"": true}, ""verbosity"": ""low""}, ""top_logprobs"": 0, ""truncation"": ""disabled"", ""usage"": {""input_tokens"": 535, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 14, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 549}, ""user"": null, ""billing"": {""payer"": ""developer""}, ""completed_at"": 1766823341, ""store"": true}",False
